EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
okok ---- okok ---- rwx/rw- (r-x/r-x) rw-/rw-
okok ---- okok ---- rw-/rwx (r-x/r-x) rw-/rwx
okok ---- okok ---- rw-/rw- (r-x/r-x) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/r-x) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/r-x) r-x/---
okok ---- ---- ---- r--/--x (r-x/r-x) r--/--x
okok ---- ---- ---- r--/--- (r-x/r-x) r--/---
okok ---- okok ---- r-x/r-x (r-x/r-x) r-x/r-x
okok ---- okok ---- r-x/r-- (r-x/r-x) r-x/r--
okok ---- okok ---- r--/r-x (r-x/r-x) r--/r-x
okok ---- okok ---- r--/r-- (r-x/r-x) r--/r--
okok ---- ---- ---- rwx/--x (r-x/r--) rwx/--x
okok ---- ---- ---- rwx/--- (r-x/r--) rwx/---
okok ---- ---- ---- rw-/--x (r-x/r--) rw-/--x
okok ---- ---- ---- rw-/--- (r-x/r--) rw-/---
okok ---- okok ---- rwx/rwx (r-x/r--) rw-/rwx
okok ---- okok ---- rwx/rw- (r-x/r--) rw-/rw-
okok ---- okok ---- rw-/rwx (r-x/r--) rw-/rwx
okok ---- okok ---- rw-/rw- (r-x/r--) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/r--) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/r--) r-x/---
okok ---- ---- ---- r--/--x (r-x/r--) r--/--x
okok ---- ---- ---- r--/--- (r-x/r--) r--/---
okok ---- okok ---- r-x/r-x (r-x/r--) r-x/r-x
okok ---- okok ---- r-x/r-- (r-x/r--) r-x/r--
okok ---- okok ---- r--/r-x (r-x/r--) r--/r-x
okok ---- okok ---- r--/r-- (r-x/r--) r--/r--
okok ---- ---- ---- rwx/--x (r--/r-x) rwx/--x
okok ---- ---- ---- rwx/--- (r--/r-x) rwx/---
okok ---- ---- ---- rw-/--x (r--/r-x) rw-/--x
okok ---- ---- ---- rw-/--- (r--/r-x) rw-/---
okok ---- okok ---- rwx/rwx (r--/r-x) rw-/rwx
okok ---- okok ---- rwx/rw- (r--/r-x) rw-/rw-
okok ---- okok ---- rw-/rwx (r--/r-x) rw-/rwx
okok ---- okok ---- rw-/rw- (r--/r-x) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/r-x) r-x/--x
okok ---- ---- ---- r-x/--- (r--/r-x) r-x/---
okok ---- ---- ---- r--/--x (r--/r-x) r--/--x
okok ---- ---- ---- r--/--- (r--/r-x) r--/---
okok ---- okok ---- r-x/r-x (r--/r-x) r-x/r-x
okok ---- okok ---- r-x/r-- (r--/r-x) r-x/r--
okok ---- okok ---- r--/r-x (r--/r-x) r--/r-x
okok ---- okok ---- r--/r-- (r--/r-x) r--/r--
okok ---- ---- ---- rwx/--x (r--/r--) rwx/--x
okok ---- ---- ---- rwx/--- (r--/r--) rwx/---
okok ---- ---- ---- rw-/--x (r--/r--) rw-/--x
okok ---- ---- ---- rw-/--- (r--/r--) rw-/---
okok ---- okok ---- rwx/rwx (r--/r--) rw-/rwx
okok ---- okok ---- rwx/rw- (r--/r--) rw-/rw-
okok ---- okok ---- rw-/rwx (r--/r--) rw-/rwx
okok ---- okok ---- rw-/rw- (r--/r--) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/r--) r-x/--x
okok ---- ---- ---- r-x/--- (r--/r--) r-x/---
okok ---- ---- ---- r--/--x (r--/r--) r--/--x
okok ---- ---- ---- r--/--- (r--/r--) r--/---
okok ---- okok ---- r-x/r-x (r--/r--) r-x/r-x
okok ---- okok ---- r-x/r-- (r--/r--) r-x/r--
okok ---- okok ---- r--/r-x (r--/r--) r--/r-x
okok ---- okok ---- r--/r-- (r--/r--) r--/r--
okok ---- ---- ---- rwx/--x (r-x/--x) rwx/--x
okok ---- ---- ---- rwx/--- (r-x/--x) rwx/---
okok ---- ---- ---- rw-/--x (r-x/--x) rw-/--x
okok ---- ---- ---- rw-/--- (r-x/--x) rw-/---
okok ---- ---- ---- rwx/rwx (r-x/--x) rw-/rwx
okok ---- ---- ---- rwx/rw- (r-x/--x) rw-/rw-
okok ---- ---- ---- rw-/rwx (r-x/--x) rw-/rwx
okok ---- ---- ---- rw-/rw- (r-x/--x) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/--x) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/--x) r-x/---
okok ---- ---- ---- r--/--x (r-x/--x) r--/--x
okok ---- ---- ---- r--/--- (r-x/--x) r--/---
okok ---- ---- ---- r-x/r-x (r-x/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (r-x/--x) r-x/r--
okok ---- ---- ---- r--/r-x (r-x/--x) r--/r-x
okok ---- ---- ---- r--/r-- (r-x/--x) r--/r--
okok ---- ---- ---- rwx/--x (r-x/---) rwx/--x
okok ---- ---- ---- rwx/--- (r-x/---) rwx/---
okok ---- ---- ---- rw-/--x (r-x/---) rw-/--x
okok ---- ---- ---- rw-/--- (r-x/---) rw-/---
okok ---- ---- ---- rwx/rwx (r-x/---) rw-/rwx
okok ---- ---- ---- rwx/rw- (r-x/---) rw-/rw-
okok ---- ---- ---- rw-/rwx (r-x/---) rw-/rwx
okok ---- ---- ---- rw-/rw- (r-x/---) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/---) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/---) r-x/---
okok ---- ---- ---- r--/--x (r-x/---) r--/--x
okok ---- ---- ---- r--/--- (r-x/---) r--/---
okok ---- ---- ---- r-x/r-x (r-x/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (r-x/---) r-x/r--
okok ---- ---- ---- r--/r-x (r-x/---) r--/r-x
okok ---- ---- ---- r--/r-- (r-x/---) r--/r--
okok ---- ---- ---- rwx/--x (r--/--x) rwx/--x
okok ---- ---- ---- rwx/--- (r--/--x) rwx/---
okok ---- ---- ---- rw-/--x (r--/--x) rw-/--x
okok ---- ---- ---- rw-/--- (r--/--x) rw-/---
okok ---- ---- ---- rwx/rwx (r--/--x) rw-/rwx
okok ---- ---- ---- rwx/rw- (r--/--x) rw-/rw-
