EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
okok ---- ---- ---- r--/--x (r--/r--) ---/--x
okok ---- ---- ---- r--/--- (r--/r--) r--/---
okok ---- okok ---- r-x/r-x (r--/r--) r-x/r-x
okok ---- okok ---- r-x/r-- (r--/r--) r-x/r--
okok ---- okok ---- r--/r-x (r--/r--) r--/r-x
okok ---- okok ---- r--/r-- (r--/r--) r--/r--
---- ---- ---- ---- rwx/--x (r-x/--x) -wx/--x
okok ---- ---- ---- rwx/--- (r-x/--x) rwx/---
---- ---- ---- ---- rw-/--x (r-x/--x) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/--x) rw-/---
---- ---- ---- ---- rwx/rwx (r-x/--x) rw-/rwx
okok ---- ---- ---- rwx/rw- (r-x/--x) rw-/rw-
---- ---- ---- ---- rw-/rwx (r-x/--x) rw-/rwx
okok ---- ---- ---- rw-/rw- (r-x/--x) rw-/rw-
---- ---- ---- ---- r-x/--x (r-x/--x) --x/--x
okok ---- ---- ---- r-x/--- (r-x/--x) r-x/---
---- ---- ---- ---- r--/--x (r-x/--x) ---/--x
okok ---- ---- ---- r--/--- (r-x/--x) r--/---
---- ---- ---- ---- r-x/r-x (r-x/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (r-x/--x) r-x/r--
---- ---- ---- ---- r--/r-x (r-x/--x) r--/r-x
okok ---- ---- ---- r--/r-- (r-x/--x) r--/r--
okok ---- ---- ---- rwx/--x (r-x/---) -wx/--x
okok ---- ---- ---- rwx/--- (r-x/---) rwx/---
okok ---- ---- ---- rw-/--x (r-x/---) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/---) rw-/---
okok ---- ---- ---- rwx/rwx (r-x/---) rw-/rwx
okok ---- ---- ---- rwx/rw- (r-x/---) rw-/rw-
okok ---- ---- ---- rw-/rwx (r-x/---) rw-/rwx
okok ---- ---- ---- rw-/rw- (r-x/---) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/---) --x/--x
okok ---- ---- ---- r-x/--- (r-x/---) r-x/---
okok ---- ---- ---- r--/--x (r-x/---) ---/--x
okok ---- ---- ---- r--/--- (r-x/---) r--/---
okok ---- ---- ---- r-x/r-x (r-x/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (r-x/---) r-x/r--
okok ---- ---- ---- r--/r-x (r-x/---) r--/r-x
okok ---- ---- ---- r--/r-- (r-x/---) r--/r--
---- ---- ---- ---- rwx/--x (r--/--x) -wx/--x
okok ---- ---- ---- rwx/--- (r--/--x) rwx/---
---- ---- ---- ---- rw-/--x (r--/--x) -w-/--x
okok ---- ---- ---- rw-/--- (r--/--x) rw-/---
---- ---- ---- ---- rwx/rwx (r--/--x) rw-/rwx
okok ---- ---- ---- rwx/rw- (r--/--x) rw-/rw-
---- ---- ---- ---- rw-/rwx (r--/--x) rw-/rwx
okok ---- ---- ---- rw-/rw- (r--/--x) rw-/rw-
---- ---- ---- ---- r-x/--x (r--/--x) --x/--x
okok ---- ---- ---- r-x/--- (r--/--x) r-x/---
---- ---- ---- ---- r--/--x (r--/--x) ---/--x
okok ---- ---- ---- r--/--- (r--/--x) r--/---
---- ---- ---- ---- r-x/r-x (r--/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (r--/--x) r-x/r--
---- ---- ---- ---- r--/r-x (r--/--x) r--/r-x
okok ---- ---- ---- r--/r-- (r--/--x) r--/r--
okok ---- ---- ---- rwx/--x (r--/---) -wx/--x
okok ---- ---- ---- rwx/--- (r--/---) rwx/---
okok ---- ---- ---- rw-/--x (r--/---) -w-/--x
okok ---- ---- ---- rw-/--- (r--/---) rw-/---
okok ---- ---- ---- rwx/rwx (r--/---) rw-/rwx
okok ---- ---- ---- rwx/rw- (r--/---) rw-/rw-
okok ---- ---- ---- rw-/rwx (r--/---) rw-/rwx
okok ---- ---- ---- rw-/rw- (r--/---) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/---) --x/--x
okok ---- ---- ---- r-x/--- (r--/---) r-x/---
okok ---- ---- ---- r--/--x (r--/---) ---/--x
okok ---- ---- ---- r--/--- (r--/---) r--/---
okok ---- ---- ---- r-x/r-x (r--/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (r--/---) r-x/r--
okok ---- ---- ---- r--/r-x (r--/---) r--/r-x
okok ---- ---- ---- r--/r-- (r--/---) r--/r--

[ACTUAL]  TTE     (HPD)     APRR
[-w-/--x] rwx/--x (rwx/rwx) -wx/--x
[rw-/---] rwx/--- (rwx/rwx) rwx/---
[-w-/--x] rw-/--x (rwx/rwx) -w-/--x
[rw-/---] rw-/--- (rwx/rwx) rw-/---
[rw-/rw-] rwx/rwx (rwx/rwx) rw-/rwx
[rw-/rw-] rwx/rw- (rwx/rwx) rw-/rw-
[rw-/rw-] rw-/rwx (rwx/rwx) rw-/rwx
[rw-/rw-] rw-/rw- (rwx/rwx) rw-/rw-
[--x/--x] r-x/--x (rwx/rwx) --x/--x
[r-x/---] r-x/--- (rwx/rwx) r-x/---
[---/--x] r--/--x (rwx/rwx) ---/--x
[r--/---] r--/--- (rwx/rwx) r--/---
